"paper","authors","title","position","contribution ID"
"MOCPR02","L.R. Dalesio, A.N. Johnson, K.-U. Kasemir","The EPICS Collaboration Turns 30",100,1851
"MOCPR03","I. Asensi Tortajada, A. Rummler, C.A. Solans Sanchez, J.G. Torres Pais","Planning of Interventions With the Atlas Expert System",105,1349
"MOCPR04","K.S. White","Moving Beyond Bias",109,1846
"MOCPR05","M. Di Carlo, D. Bartashevich, J.B. Morgado, D.F. Nunes, S. Williams, M.J.A. de Beer, K. Madisa, A.J. Venter, M. Bartolini","CI-CD Practices with the TANGO-controls Framework in the Context of the Square Kilometre Array (SKA) Telescope Project",114,1221
"MOKPP01","J. Misewich","Discovery at Your Doorstep",,2201
"MOMPL001","E. Antolini, D. Melkumyan, K. Mosshammer, I. Oya","Quality Assurance Plan for the SCADA System of the Cherenkov Telescope Array Observatory",120,1428
"MOMPL002","G. Kourousias, F. Billè, R. Borghes, D. Favretto, R. Pugliese, C. Reis","Enabling Remote HDF5 Browsing and Visualization on Facility Portals",,1675
"MOMPL003","A.D. Pai","A Semi-Beginner's Lessons Learned in PCB Layout of PWM Switched NMOS FETs",,1860
"MOMPL004","M.J. Christensen, M.J. Clarke, A.H.C. Mukai, J.M.C. Nilsson, M. Shetty, T.S. Richter","Software-based Event Formation at European Spallation Source",,1350
"MOMPL005","D.W. Johnson","Framework for Integrating Experiment-Preconditioning Subsystems to Support Downline Shots on the Z Machine",,1855
"MOMPL006","M.G. Konrad, S. Beher, A.P. Lathrop, D.G. Maxwell, J.P.H. Ryan","Automatic Deployment in a Control System Environment",125,1710
"MOMPL007","Z. Ni, L. Li, J. Liu, J. Luo, X. Zhou, Y. Gao","The Design of Intelligent Integrated Control Software Framework of Facilities for Scientific Experiments",131,1560
"MOMPL008","Y. Mariette, Q. Bertrand, F. Gougnaud, T.J. Joannem, V. Nadot, T. Papaevangelou, L. Segui, F.S. Alves, I. Dolenc Kittelmann, W. Cichalewski, G.W. Jablonski, W. Jalmuzna, R. Kielbik","New Neutron Sensitive Beam Loss Monitor (nBLM)",136,1591
"MOMPL009","W. Mexner, B. Aydt, E. Blomley, E. Bründermann, D. Hoffmann, A.-S. Mueller, M. Schuh, S. Marsching","Control System Virtualization at Karlsruhe Research Accelerator",142,1516
"MOMPL010","A. Ledeul, A. Savulescu, G. Segura, B. Styczen","Data Streaming With Apache Kafka for CERN Supervision, Control and Data Acquisition System for Radiation and Environmental Protection",146,1345
"MOMPR001","Y.W. Xu, Y.X. Qiu, L. Hu, L. Liao, K. Zhou, J. Zhuang","A Data Acquistion Application of CSNS",,1401
"MOMPR002","M. Ritzert","Improving User Information by Interfacing the Slow Control's Log and Alarm Systems to a Flexible Chat Platform",151,1600
"MOMPR003","K. Saintin, R. Girardot","Data Visualization With Data Browser Software",154,1482
"MOMPR004","H. Santos, M. Beg, M. Bergemann, V. Bondar, C. Carinan, R. Costa, F. Dall'Antonia, C. Danilevski, W. Ehsan, S.G. Esenov, R. Fabbri, G. Flucke, D. Fulla Marsa, G. Giovanetti, D. Goeries, S. Hauf, D.G. Hickin, T. Jarosiewicz, E. Kamil, Y. Kirienko, A. Klimovskaia, T.A. Kluyver, D. Mamchyk, T. Michelat, I. Mohacsi, A. Parenti, R. Rosca, D.B. Rück, R. Schaffer, A. Silenzi, M. Spirzewski, S. Trojanowski, C. Youngman, J. Zhu, S. Brockhauser, H. Fangohr","Control and Analysis Software Development at the European XFEL",157,1818
"MOMPR005","G. Thibaux, Y.-M. Abiven, D. Bachiller-Perea, J. Bisou, A. Dawiec, A. Jarnac, B. Kanoute, F. Langlois, C. Laulhe, C. Menneglier, A. Noureddine, F. Orsini, Y. Sergent, P. Grybos, A. Koziol, P. Maj, C. Laulhe","Development of a New Data Acquisition System for a Photon Counting Detector Prototype at SOLEIL Synchrotron",161,1527
"MOMPR006","G. Valentino, G. De Cataldo, M. Hostettler, A. Franco, O.B. Visnyei","Performance of the ALICE Luminosity Leveling Software Architecture in the Pb-Pb Physics Run",166,1574
"MOMPR007","K. Woods, R.J. Clegg, R. Millward, F. Barnsely, C. Jones","Scalable High Demand Analytics Environments with Heterogeneous Clouds",170,1676
"MOMPR008","X.H. Wu, L. Bai, C.P. Chu","SharePoint for HEPS Technical Systems and Project Management",174,1941
"MOMPR009","Z. Zhang, Z. Ji, Y. Wang, B. Xiao, F. Xia","Prototype Design for Upgrading East Safety and Interlock System",178,1651
"MOPHA001","Y.-M. Abiven, T. Bucaille, L. Chavas, E. Elkaim, P. Gourhant, Y. Liatimi, K. Medjoubi, S. Pierre-Joseph Zephir, B. Pilliaud, V. Pinty, A. Somogyi, F. Thiam [on leave], S. Bouvel","Robotizing SOLEIL Beamlines to Improve Experiments Automation",182,1526
"MOPHA002","C.F. Afonso, L. Casalegno, M. Necchi, M. G. Pullia, S. Toncelli, S. Foglio, S.G. Gioia, C. Larizza","A Model-Driven Service-Oriented Wizard-Based Multi-Target Development Kit for Supervision Systems",186,1626
"MOPHA003","C.F. Afonso, L. Casalegno, M. Necchi, S. Toncelli, S. Foglio, S.G. Gioia, C. Larizza","Integrating Mobile Devices Into CNAO's Control System, a Web Service Approach to Device Communication",191,1622
"MOPHA006","A.D. Alarcon","SwissFEL Undulator Control System",196,1573
"MOPHA008","L. Antoniazzi, A. Baldo, M.G. Giacchini, M. Montis, A. Jokinen, A. Marqueta","LIPAc RFQ Control System Lessons Learned",199,1584
"MOPHA009","E. Asensi Conejero, M. Boros, N. Elias, J. Fydrych, W. Hees, P. L. van Velze, W. Gaj","Commissioning the Control System for Cryomodule Cryogenics Distribution System in Test Stand 2",204,1222
"MOPHA010","G. Azzopardi, S. Redaelli, B. Salvachua, A. Muscat, G. Valentino","Automatic Beam Loss Threshold Selection for LHC Collimator Alignment",207,1202
"MOPHA011","R. Bacher","Improving Gesture Recognition with Machine Learning: A Comparison of Traditional Machine Learning and Deep Learning",213,1493
"MOPHA012","K.V.L. Baker","Interrupting a State Machine",218,1741
"MOPHA013","E.T. Berryman","FRIB High-Level Software Architecture Implementation",,1828
"MOPHA014","B. Bertrand, A. Harrisson","Building and Packaging EPICS Modules With Conda",222,1686
"MOPHA015","A. Bhasker, R.D. Clark, J.E. Dorham","Reverse Engineering the Amplifier Slab Tool at the National Ignition Facility",227,1534
"MOPHA017","W.A.H. Rogers, T.J.R. Nicholls, A.A. Wilson","pyAT, Pytac and pythonSoftIoc: a Pure Python Virtual Accelerator",231,1883
"MOPHA019","Y. Brischetto, V. Costa, D.C. Glenat, L. Arnaudon, D. Landré","Upgrade of the Control System for the LHC High Level RF",235,1485
"MOPHA021","N.W. Brown","Pytmc: Building EPICS IOCs From PLC Projects in Two Steps",,1862
"MOPHA022","C.S. Chen, W.S. Chan, Y.Y. Cheng, Y.F. Chiu, Y.-C. Chung, K.C. Kuo, M.T. Lee, Y.-C. Lin, C.Y. Liu, Z.-D. Tsai","Implementation of ISO 50001 Energy Management System With the Advantage of Archive Viewer in NSRRC",238,1548
"MOPHA023","Y.-S. Cheng, K.T. Hsu, K.H. Hu, D. Lee, C.Y. Liao, C.Y. Wu","Applications of an EPICS Embedded and Credit-card Sized Waveform Acquisition",241,1564
"MOPHA026","H.Z. Chen, Y.-S. Cheng, K.T. Hsu, K.H. Hu, C.Y. Liao, C.Y. Wu","Development of an Online Diagnostic Toolkit for the UPC Control System",245,1641
"MOPHA028","C.P. Chu, D.P. Jin, G. Lei, G. Li, C.H. Wang, G.L. Xu, L.X. Zhu","High Energy Photon Source Control System Design",248,1475
"MOPHA029","R. Cirami, V. Baldini, I. Coretti, P. Di Marcantonio, H. Boffin, F. Derie, A. Manescau, R. Siebenmorgen","FORS-Up: An Upgrade of the FORS2 Instrument @ ESO VLT",252,1581
"MOPHA030","R. Cirami, I. Coretti, P. Di Marcantonio, F. Alesina, N. Buchschacher, F. Pepe","An Upgrade of the HARPS-N Spectrograph Autoguider at TNG",257,1590
"MOPHA031","J.G.R.S. Franco, C.F. Carneiro, E.P. Coelho, V. dos Santos Pereira, R.C. Ito, P.H. Nallin, R.W. Polli, A.R.D. Rodrigues","Software and Hardware Design for Controls Infrastructure at Sirius Light Source",262,1850
"MOPHA032","A. Costa, U. Becciani, P. Bruno, A.S. Calanducci, A. Grillo, S. Riggi, E. Sciacca, F. Vitello, V. Conforti, F. Gianotti, J. Schwarz, G. Tosti","Big Data Architectures for Logging and Monitoring Large Scale Telescope Arrays",267,1819
"MOPHA033","E. Daykin, M.G. Konrad","Timing, Synchronization and Software-Generated Beam Control at FRIB",271,1728
"MOPHA034","J.S. Diamond","Software Architecture for Next Generation Beam Position Monitors at Fermilab",274,1725
"MOPHA039","D. Egorov, V.B. Shutov, P.V. Chumakov, R.V. Nagdasev","Slow Control Systems at BM@N and MPD/NICA Detector Experiments",277,2042
"MOPHA040","V. Bondar, M. Beg, M. Bergemann, C. Carinan, R. Costa, F. Dall'Antonia, C. Danilevski, W. Ehsan, S.G. Esenov, R. Fabbri, G. Flucke, D. Fulla Marsa, A. Galler, G. Giovanetti, D. Goeries, J. Grünert, S. Hauf, D.G. Hickin, T. Jarosiewicz, E. Kamil, Y. Kirienko, A. Klimovskaia, T.A. Kluyver, D. Mamchyk, T. Michelat, I. Mohacsi, A. Parenti, D.B. Rück, H. Santos, R. Schaffer, A. Silenzi, C. Youngman, P. Zalden, J. Zhu, S. Brockhauser, H. Fangohr","Beam Position Feedback System Supported by Karabo at European XFEL",280,1817
"MOPHA041","B. Fernandez Adiego, E. Blanco Vinuela, M. Charrondiere, R. Speroni, M. Bonet, M.H. de Queiroz, H.D. Hamisch","Cause-and-Effect Matrix Specifications for Safety Critical Systems at CERN",284,1673
"MOPHA042","I.D. Finch","Evaluating VISTA and EPICS With Regard to Future Control Systems Development at ISIS",290,1921
"MOPHA043","W. Fu, K.A. Brown, T. D'Ottavio, P.S. Dyer, S. Nemesure","Accelerator Control Data Mining with WEKA",292,1430
"MOPHA044","G. Gaio, G. Scalamera","Development of Ethernet Based Real-Time Applications in Linux Using DPDK",296,1513
"MOPHA045","Y. Gao, T.G. Robertazzi, K.A. Brown, J. Morris, R.H. Olsen","A New Simulation Stucture to Improve Software Dependability in Collider-Accelerator Control Systems",300,1881
"MOPHA046","Y. Gao, T.G. Robertazzi, K.A. Brown, M. Harvey, J. Morris, R.H. Olsen","A New Simulation Timing System for Software Testing in Collider-Accelerator Control Systems",306,1882
"MOPHA047","A. Gerbershagen, D. Banerjee, J. Bernhard, M. Brugger, N. Charitonidis, L. Gatignon, E. Montbarbon, B. Rae, M.S. Rosenthal, M.W.U. Van Dijk, G. D'Alessandro, I. Peres","CERN Secondary Beamlines Software Migration Project",311,1364
"MOPHA048","B. Gkotse, F. Ravotti, G. Pezzullo, P. Jouvelot","The IRRAD Data Manager (IDM)",317,1617
"MOPHA049","M. Gonzalez-Berges, J.O. Robinson, M. Saccani, V. Schramm, M.A. Stachon","Test-bench Design for New Beam Instrumentation Electronics at CERN",322,1669
"MOPHA050","P.P. Goryl, M. Liszcz, R. Bourtembourg, A. Gotz, V.H. Hardion","Towards Improved Accessibility of the Tango Controls",327,1652
"MOPHA051","P.P. Goryl, M. Liszcz, A. Gotz, L. Pivetta, V.H. Hardion","Towards Specification of Tango V10",330,1480
"MOPHA052","F. Gougnaud, P. Bargueden, J.F. Denis, A. Gaget, P. Guiho, T.J. Joannem, A. Lotode, Y. Lussignol, Y. Mariette, N. Solenne, V. Nadot, Q. Bertrand, G. Ferrand, F. Gohier, I. Hoffman Moran, E. Reinfeld, I. Shmuely","Evolution Based on MicroTCA and MRF Timing System",333,1518
"MOPHA053","M.G. Grzegrzolka, A. Abramowicz, A. Ciszewska, K. Czuba, B. Gasowski, P.K. Jatczak, M. Kalisiak, T. Lesniak, M. Lipinski, T. Owczarek, R. Papis, I. Rutkowski, K. Sapór, M. Sawicka, D. Sikora, M. Urbanski, L.Z. Zembala, M. Zukocinski","Status of Control and Synchronization Systems Development at Institute of Electronic Systems",337,1691
"MOPHA054","Y.H. Guo, Y.C. Cheng","Progress in Machine Protection System for Low Energy Accelerator Facility",,1241
"MOPHA055","B. Hajinasab","Logbook Development Plan at ESS",,1794
"MOPHA058","J.O. Hill","Lua-Language-Based Data Acquisition Processing EPICS Subscription Filters",341,2081
"MOPHA059","S. Hocquet, N. Bazoge, Ph. Hours, D. Monnier-Bourdin, T. Falgon, T. Somerlinck","Ultra-High Precision Timing System for the CEA-Laser Megajoule",346,1341
"MOPHA061","T. Gatsi, S.W. Hoosen, B. Xaia","SARAO Control and Monitoring Proxmox Ceph Cluster",,1795
"MOPHA062","F. Horvath, L.J. Fulop, Z. Héjja, Sz. Horváth, G. Kávai, T. Kecskés, I. Kiss, V. Kurusa, K. Untener","The Personnel Safety System of ELI-ALPS",350,1692
"MOPHA063","K. Höppner, Th. Haberer, K. Pasic, A. Peters, H. Humer, J. Gutleber, A. Niemi","Towards a Common Reliability & Availability Information System for Particle Accelerator Facilities",355,1827
"MOPHA064","B. Salvachua, D. Alves, G. Azzopardi, S. Jackson, D. Mirarchi, M. Pojer, G. Valentino","An Off-Momentum Beam Loss Feedback Controller and Graphical User Interface for the LHC",359,1472
"MOPHA066","R.A. Kadyrov, D.G. Brown, E.P. Chin, C.I. Clarke, M. Petree, E. Rodriguez, F. Tao","Electronics for LCLS-II Beam Containment System Shut-off",365,1608
"MOPHA067","H. Kaji","New Injection Information Archiver for SuperKEKB",369,1510
"MOPHA068","P. K. Kankiya, J.P. Jamilkowski","Improving Reliability of the Fast Extraction Kicker Timing Control at the AGS",372,1833
"MOPHA069","S. Karabekyan, S. Abeghyan, W. Freund, L. Froehlich","Automation of the Undulator Middle Plane Alignment Relative to the Electron Beam Position Using the K-Monochromator",374,1802
"MOPHA071","J.H. Kim, H.S. Kim, Y. M. Kim, H.-J. Kwon, Y.G. Song","Integrated Multi-Purpose Tool for Data Processing and Analysis via EPICS PV Access",378,1546
"MOPHA072","W.T. Kitka, M.K. Falowski, A.M. Marendziak, N. Olszowska, M. Zaj&#261;c","Automation in NSRC SOLARIS With Python and Tango Controls",381,1556
"MOPHA073","M. Komiyama, M. Fujimaki, N. Fukunishi, A. Uchiyama","Recent Updates of the RIKEN RI Beam Factory Control System",383,1512
"MOPHA075","M.G. Konrad, E. Bernal, M.A. Davis","EPICS Support Module for Efficient UDP Communication With FPGAs",387,1709
"MOPHA076","R. Rujanakraikarn, P. Koonpong, S. Tesprasitte","Timing System Upgrade for Medical Linear Accelerator Project at SLRI",391,1643
"MOPHA078","T. Ladzinski, F. Havart, B. Fernandez Adiego","Renovation of the SPS Personnel Protection System:  A Configurable Approach",394,1714
"MOPHA080","J.C. Letra Simoes, F.A. Marin, S. Infante","Automatic Reconfiguration of CERN 18 kV Electrical Distribution - the Auto Transfer Control System",399,1372
"MOPHA081","P. Li","The Accelerator Control System of Heavy Ion Medical Machine at Lanzhou",,1261
"MOPHA083","X.J. Liu, J.J. Chang, Y. Chen, J.K. Liu, A. Shi, P.P. Wang, J.Q. Wu, W. Zhang","Sector Focused Cyclotron Power Supply Control System Upgrade",,1657
"MOPHA085","F. Locci, J.P. Palluel [on leave], F. Ehm [on leave], L. Gallerani [on leave], J. Lauener [on leave], R. Voirin [on leave]","CERN Controls Open Source Monitoring System",403,2064
"MOPHA086","J. Luo, L. Li, Z. Ni, X. Zhou, Y. Gao","The Design of Experimental Performance Analysis and Visualization System",408,1699
"MOPHA088","N. Magnin, W. Bartmann, C. Bracco, E. Carlier, G. Gräwer, T.D. Mottram, Rodziewicz, J.P. Rodziewicz, V. Senaj, C. Wiesner, E. Renner","Consolidation of Re-Triggering System of LHC Beam Dumping System at CERN",411,1613
"MOPHA090","P.S. Marroquin, J.D. Bernardin, J.G. Gioia, D.A. Hathcoat, A. Llobet, H.J. Sandin, W. Winton","Design of Vessel and Beamline Vacuum and Gas Control System for Proton Radiography",416,1745
"MOPHA091","I. Mazkiaran, I. Bustinduy, C. de la Cruz, G. Harper, A. Rodríguez Páramo, J.P.S. Martins","ESS MEBT Control System Integration",420,1404
"MOPHA092","D. Melkumyan, I. Sadeh, T. Schmidt, P.A. Wegner, M. Fuessling, I. Oya, S. Sah, M. Sekoranja, U. Schwanke, J. Schwarz","Prototyping the Resource Manager and Central Control System for the Cherenkov Telescope Array",425,1463
"MOPHA094","S.M. Meykopff","Converting the Emittance Measurement MATLAB Tool Into a C++ Control System Server",,1785
"MOPHA095","N. Milas, J. F. Esteban Muller, E. Laface, Y. Levinsen","Status of OpenXAL at ESS",431,1141
"MOPHA096","M. Montis, L. Antoniazzi, A. Baldo, M.G. Giacchini, T. Fay","ESS Drift Tube Linac Control System Architecture and Concept of Operations",435,1602
"MOPHA097","M. Montis, M.G. Giacchini, T. Marchi, B. Genolini, L. Vatrinet, D. Verney, J.K. Abraham","EPICS Based Control System for SPES Tape Station for Beam Characterization: Motion System and Controls",439,1524
"MOPHA098","K.F. Mulholland, J. Knudstrup, F. Pellegrin","A New Communication Interface for the European Southern Observatory (ESO)'s Very Large Telescope Technical Detector Control System Using Aravis, an Open-Source Library for GenICam Cameras",443,1373
"MOPHA099","U.M. Neuman, J.D. O'Hea, K. Ward, I.H. Rey","XChem Laboratory Puck Scanner - Algorithm and Result Visualization",447,1665
"MOPHA100","P.P. Nikiel, P. Moschovakos, S. Schlenker","quasar : The Full-Stack Solution for Creation of OPC-UA Middleware",452,1683
"MOPHA102","A. Oates, B.G. Martlew","Commissioning of the Control System for the SURFLab Vertical Test Facility",,1815
"MOPHA103","J.C. Oliveira, A. Diaz Fontalva, L. Arnaudon","The PLC Control System for the RF Upgrade of the Super Proton Synchrotron",457,1489
"MOPHA105","S.T. Page, J. Afonso, C. Ghabrous Larrea, J. Herttuainen, Q. King, B. Todd","Adaptation of CERN Power Converter Controls for Integration into Other Laboratories using EPICS and TANGO",461,1655
"MOPHA106","S.T. Page, C. Ghabrous Larrea, Q. King, B. Todd, S. Uznanski, D.J. Zielinski","FGC3.2: A New Generation of Embedded Controls Computer for Power Converters at CERN",467,1654
"MOPHA108","A.D. Pai","Streamlining Hardware Design, Cable Fabrication, and Installation of Beckhoff Hardware in Field",,1718
"MOPHA109","M.C. Paniccia, D.M. Gassner, A. Marusic, A. Sukhanov","Python Based Application for Beam Current Transformer Signal Analysis",472,1922
"MOPHA110","A. Panov","The BudkerRIO System on the Basis of the CompactRIO",,1421
"MOPHA111","I. Papakrivopoulos, P. Brummer, D. Da Silva Gomes, C. Deldicque, M. Dobson, N. Doualot, J.R. Fulcher, D. Gigi, M.S. Gladki, F. Glege, J. Hegeman, A. Mecionis, F. Meijers, E. Meschi, K. Mor, L. Orsini, D. Rabady, A. Racz, K.V. Raychinov, A. Rodriguez Garcia, H. Sakulin, C. Schwick, D. Simelevicius, P. Soursos, M. Stankevicius, U. Suthakar, C. Vazquez Velez, A.B. Zahid, U. Behrens, R.K. Mommsen, V. O'Dell, P. Zejdl, S. Morovic, G.L. Darlea, G. Gomez-Ceballos, C. Paus, G. Bakas, G. Tsipolitis, W. Li, A. Petrucci, A. Stahl, J. Branson, S. Cittolin, M. Pieri","Easing the Control System Application Development for CMS Detector Control System with Automatic Production Environment Reproduction",475,1690
"MOPHA112","L.P. Petrosyan","Improving Perfomance of the MTCA System by use of PCI Express Non-Transparent Bridging and Point-To-Point PCI Express Transactions",479,1498
"MOPHA113","M.P. Pimentel, E. Carlier, C. Chanavat, T. Gharsa, G. Gräwer, N. Magnin, N. Voumard","Linux-based PXIe System for the Real-Time Control of New Painting Bumper at CERN",484,1599
"MOPHA114","R. Pirayesh, S. Biedron, J.A. Diaz Cruz, M. Martinez-Ramon, S.I. Sosa Guitron","Achieving Optimal Control of LLRF Control System with Artificial Intelligence",489,2061
"MOPHA115","P. Plutecki, B. Bielawski, A.C. Butterworth","Code Generation Tools and Editor for Memory Maps",494,1484
"MOPHA117","I. Prieto Barreiro, M. Sobieszek","Big Data Archiving From Oracle to Hadoop",498,1789
"MOPHA118","M. Bräger, M. Bouzas Reguera, U. Epting, E. Mandilara, E. Matli, M.P. Rafalski, I. Prieto Barreiro","Improving Alarm Handling for the TI Operators by Integrating Different Sources in One Alarm Management and Information System",503,1790
"MOPHA120","S. Radovich","Z Machine Control System Upgrade",,1808
"MOPHA121","Z. Reszela, J. Andreu, T.M. Coutinho, G. Cuni, C. Falcon-Torres, D. Fernandez-Carreiras, R. Homs-Puron, C. Pascual-Izarra, D. Roldan, M. Rosanes-Siscart, M.T. Nunez Pardo de Vera, A. Milan-Otero, G.W. Kowalski","Generic Data Acquisition Interfaces and Processes in Sardana",507,1604
"MOPHA123","A.P. Rocha, I.A. Amador, S. Blanchard, J. Fraga, P. Gomes, C.V. Lima, G. Pigny, P. Poulopoulou","Vacuum Controls Configurator: A Web Based Configuration Tool for Large Scale Vacuum Control Systems",512,1492
"MOPHA124","I. Rutkowski, K. Czuba, M.G. Grzegrzolka","Local Oscillator Rear Transition Module for 704.42 MHz LLRF Control System at ESS",517,1679
"MOPHA127","S. Saraf, N. Balakrishnan, J.B. Greer","Control Systems Design for LCLS-II Temperature Monitoring and Injector Equipment Protection System at SLAC",,1535
"MOPHA128","S. Saraf, S.C. Alverson, M. Boyes, D.K. Gill, S. Kwon, G. Lanza","Control Systems Design for LCLS-II Vacuum System at SLAC National Accelerator Laboratory",,1533
"MOPHA129","M. Satoh","KEK Electron/Positron Injector Linac Control System for Simultaneous Top Up Injection",,1541
"MOPHA131","B. Schofield, E. Blanco Vinuela, W. Booth, M.O. Peljo","Waste Heat Recovery for the LHC Coooling Towers: Control System Validation Using Digital Twins",521,1697
"MOPHA132","J. Lidon-Simon, N.S. Al-Habib, H.Y. Al-Sallami, A. Dupre, V.H. Hardion, M. Lindberg, P. Sjöblom, A. Thiel, G. Todorescu","Control System Integration of MAX IV Insertion Devices",526,1682
"MOPHA133","P. Sjöblom, A. Amjad, P.J. Bell, D.A. Erb, A. Freitas, V.H. Hardion, J.M. Klingberg, V. Martos, A. Milan-Otero, S. Padmanabhan, H. Petri, J.T.K. Rosenqvist, D.P. Spruce, A. Nardella","Stable Operation of the MAX IV Laboratory Synchrotron Facility",531,1635
"MOPHA134","H.H. Slepicka, M.L. Gibbs","PyDM - Status Update",537,1636
"MOPHA135","H.H. Slepicka, M.L. Gibbs","PyDM - Extension Points",540,1637
"MOPHA136","W. Smith, A.D. Brynes, F. Jackson, J. Wolfenden","Integration of Optical Beam Loss Monitor for CLARA",545,1823
"MOPHA137","W. Smith, J.M.C. Nilsson, S. Alcock","Timing Synchronization and Controls Integration for ESS Detector Readout",548,1824
"MOPHA138","Y.G. Song, H.S. Kim, J.H. Kim, H.-J. Kwon","Beam Gate Control System for the Proton Injector and Beamlines on KOMAC",552,1559
"MOPHA139","D. Sánchez-Valdepeñas, M. Carroll, A. Nordt, M. Zaera-Sanz","Implementation of the PLC based Machine Protection System for Magnets at ESS",555,1888
